fire_id,burnsev,measure_delay,count,live,dead
2017PIER,1,4,6,5,1
2017PIER,2,3,28,26,2
2017PIER,2,4,7,5,2
2017PIER,3,3,134,94,40
2017PIER,4,3,43,13,30
2017RAILROAD,1,1,9,8,1
2017RAILROAD,2,1,44,41,3
2017RAILROAD,3,1,8,5,3
2017RAILROAD,4,1,33,0,33
2020CASTLE,1,2,76,75,1
2020CASTLE,1,3,41,41,0
2020CASTLE,1,4,9,9,0
2020CASTLE,1,1,106,106,0
2020CASTLE,2,2,34,27,7
2020CASTLE,2,3,144,133,11
2020CASTLE,2,4,68,63,5
2020CASTLE,2,1,231,226,5
2020CASTLE,3,2,22,18,4
2020CASTLE,3,3,69,45,24
2020CASTLE,3,4,19,11,8
2020CASTLE,3,1,75,53,22
2020CASTLE,4,2,78,6,72
2020CASTLE,4,3,259,29,230
2020CASTLE,4,4,66,6,60
2020CASTLE,4,1,203,22,181
2021KNP_COMP,1,2,23,23,0
2021KNP_COMP,1,3,18,18,0
2021KNP_COMP,1,1,248,243,5
2021KNP_COMP,2,2,48,47,1
2021KNP_COMP,2,3,30,29,1
2021KNP_COMP,2,1,249,223,26
2021KNP_COMP,3,2,15,15,0
2021KNP_COMP,3,3,2,2,0
2021KNP_COMP,3,1,124,83,41
2021KNP_COMP,4,2,6,0,6
2021KNP_COMP,4,3,5,4,1
2021KNP_COMP,4,1,226,36,190
2021WINDY,1,1,4,4,0
2021WINDY,2,1,123,113,10
2021WINDY,3,1,110,96,14
2021WINDY,3,2,1,1,0
2021WINDY,4,1,153,44,109
2021WINDY,4,2,2,2,0
2022WASHBURN,1,1,10,10,0
2022WASHBURN,2,0,1,1,0
2022WASHBURN,2,1,10,10,0
2022WASHBURN,3,1,1,1,0
