live_prop,live_prop_rdnbr,torch_prop,torch_prop_rdnbr
0,1254,0,-59
1,1105.482482,1,-59
2,996.3943944,2,102.6606607
3,941.1931932,3,281.4074074
4,903.0780781,4,349.7517518
5,874.1631632,5,391.8098098
6,850.5055055,6,422.039039
7,829.4764765,7,445.6966967
8,811.0760761,8,466.7257257
9,793.98999,9,483.8118118
10,778.2182182,10,498.2692693
11,765.0750751,11,511.4124124
12,751.9319319,12,524.5555556
13,740.1031031,13,536.3843844
14,728.2742743,14,546.8988989
15,717.7597598,15,556.0990991
16,707.2452452,16,566.6136136
17,698.045045,17,575.8138138
18,688.8448448,18,583.6996997
19,679.6446446,19,592.8998999
20,671.7587588,20,600.7857858
21,663.8728729,21,608.6716717
22,655.986987,22,616.5575576
23,649.4154154,23,624.4434434
24,642.8438438,24,632.3293293
25,634.957958,25,638.9009009
26,629.7007007,26,646.7867868
27,623.1291291,27,653.3583584
28,616.5575576,28,661.2442442
29,611.3003003,29,667.8158158
30,604.7287287,30,675.7017017
31,599.4714715,31,682.2732733
32,594.2142142,32,688.8448448
33,588.956957,33,696.7307307
34,583.6996997,34,703.3023023
35,578.4424424,35,709.8738739
36,573.1851852,36,717.7597598
37,567.9279279,37,724.3313313
38,563.984985,38,730.9029029
39,558.7277277,39,738.7887888
40,554.7847848,40,745.3603604
41,549.5275275,41,751.9319319
42,545.5845846,42,759.8178178
43,540.3273273,43,766.3893894
44,536.3843844,44,774.2752753
45,532.4414414,45,780.8468468
46,527.1841842,46,788.7327327
47,523.2412412,47,795.3043043
48,519.2982983,48,803.1901902
49,514.041041,49,809.7617618
50,510.0980981,50,817.6476476
51,506.1551552,51,824.2192192
52,502.2122122,52,832.1051051
53,496.954955,53,838.6766767
54,493.012012,54,846.5625626
55,489.0690691,55,853.1341341
56,485.1261261,56,861.02002
57,479.8688689,57,868.9059059
58,475.9259259,58,875.4774775
59,470.6686687,59,883.3633634
60,466.7257257,60,891.2492492
61,462.7827828,61,897.8208208
62,457.5255255,62,905.7067067
63,453.5825826,63,913.5925926
64,448.3253253,64,920.1641642
65,443.0680681,65,928.0500501
66,437.8108108,66,935.9359359
67,432.5535536,67,942.5075075
68,427.2962963,68,950.3933934
69,422.039039,69,958.2792793
70,416.7817818,70,964.8508509
71,410.2102102,71,972.7367367
72,404.952953,72,980.6226226
73,398.3813814,73,988.5085085
74,391.8098098,74,995.0800801
75,383.9239239,75,1002.965966
76,376.038038,76,1010.851852
77,368.1521522,77,1018.737738
78,360.2662663,78,1026.623624
79,351.0660661,79,1033.195195
80,340.5515516,80,1041.081081
81,330.037037,81,1048.966967
82,319.5225225,82,1056.852853
83,307.6936937,83,1063.424424
84,295.8648649,84,1071.31031
85,282.7217217,85,1079.196196
86,269.5785786,86,1087.082082
87,256.4354354,87,1093.653654
88,241.977978,88,1101.53954
89,227.5205205,89,1109.425425
90,210.4344344,90,1115.996997
91,189.4054054,91,1123.882883
92,163.1191191,92,1131.768769
93,106.6036036,93,1138.34034
94,-18.25625626,94,1146.226226
95,-59,95,1152.797798
96,-59,96,1160.683684
97,-59,97,1167.255255
98,-59,98,1175.141141
99,-59,99,1181.712713
100,-59,100,1188.284284
